nose,nose,nose,nose,lear,lear,lear,lear,rear,rear,rear,rear,tail,tail,tail,tail
x,y,z,confidence,x,y,z,confidence,x,y,z,confidence,x,y,z,confidence
76.96617889404297,-60.605045318603516,178.0988311767578,0.8403589,59.992393493652344,-45.47332000732422,195.58628845214844,0.8591446,71.16307067871094,-33.172767639160156,187.9425048828125,0.70516044,56.58624267578125,-37.493995666503906,256.3944091796875,0.7863249
77.02802276611328,-60.72645950317383,178.5020751953125,0.81791914,60.04212951660156,-45.818138122558594,196.01060485839844,0.84898776,71.1826171875,-33.24638366699219,187.92807006835938,0.70675135,56.37590026855469,-37.732948303222656,257.04559326171875,0.779957
76.46517181396484,-61.331398010253906,180.19544982910156,0.8713944,59.78843688964844,-45.790504455566406,197.1304473876953,0.9077326,70.465087890625,-33.47203063964844,188.77130126953125,0.7123408,56.875205993652344,-37.486167907714844,257.3266296386719,0.82737994
76.53546142578125,-61.30591583251953,180.23121643066406,0.87142795,59.75428009033203,-45.791168212890625,197.17953491210938,0.9059952,70.45159912109375,-33.4749755859375,188.8157958984375,0.70877874,56.84476089477539,-37.584556579589844,257.390625,0.82752484
76.45437622070312,-61.120574951171875,180.65969848632812,0.8230147,59.73406982421875,-45.94996643066406,197.60955810546875,0.8684461,70.3736572265625,-33.368736267089844,188.73147583007812,0.7406989,56.66138458251953,-37.58356475830078,257.4930419921875,0.8142815
76.35933685302734,-61.46196365356445,181.25070190429688,0.84534985,59.64173126220703,-46.129005432128906,198.0335693359375,0.8839247,70.18362426757812,-33.67414093017578,189.15306091308594,0.7261623,56.64545822143555,-37.30950164794922,257.81280517578125,0.7888831
76.35955810546875,-61.46232223510742,181.25062561035156,0.84542036,59.64080810546875,-46.12837219238281,198.03416442871094,0.8839166,70.18465423583984,-33.67456817626953,189.15313720703125,0.7258234,56.641414642333984,-37.3046875,257.8050842285156,0.7886263
76.20175170898438,-61.7304801940918,182.60316467285156,0.85425466,59.48735046386719,-45.98731231689453,199.0573272705078,0.854655,70.79052734375,-33.71308135986328,189.9538116455078,0.7060345,56.382755279541016,-37.023040771484375,258.5640563964844,0.8035619
75.7917251586914,-61.583797454833984,183.65655517578125,0.8369515,59.354576110839844,-45.90727996826172,199.83438110351562,0.8532444,70.92620849609375,-33.86326599121094,190.43368530273438,0.66972077,56.545772552490234,-37.36773681640625,259.4495544433594,0.779785
75.71986389160156,-62.65425491333008,185.49203491210938,0.8325645,59.295127868652344,-45.966796875,201.14341735839844,0.83996475,70.87002563476562,-34.130943298339844,191.3889923095703,0.7169068,55.71492385864258,-36.39665222167969,259.7915344238281,0.8248501
75.14401245117188,-63.44613265991211,187.69381713867188,0.8040317,58.706809997558594,-46.04834747314453,202.72637939453125,0.84085804,70.24372100830078,-34.596649169921875,192.75094604492188,0.8112004,55.36616134643555,-36.18573760986328,260.9000549316406,0.82236147
74.30728912353516,-64.04674530029297,189.65933227539062,0.79191685,58.110687255859375,-46.899322509765625,204.63278198242188,0.8751648,69.89106750488281,-35.111961364746094,194.22804260253906,0.82075256,55.06361770629883,-36.248985290527344,262.2991943359375,0.7999715
74.12405395507812,-64.99046325683594,191.66574096679688,0.823141,57.77516174316406,-46.63934326171875,205.9888153076172,0.85909325,69.22796630859375,-35.680641174316406,195.9071502685547,0.7720827,53.369873046875,-35.702789306640625,262.32696533203125,0.79871607
73.88361358642578,-65.3626708984375,193.38702392578125,0.8042581,57.504676818847656,-47.94487762451172,207.62289428710938,0.85974866,69.18482971191406,-36.528167724609375,197.19100952148438,0.81903785,52.714603424072266,-35.48921203613281,263.23291015625,0.8200607
73.95442962646484,-66.01830291748047,194.92913818359375,0.8496861,57.316200256347656,-47.666481018066406,208.54818725585938,0.88598454,68.96089172363281,-37.06145477294922,199.1439208984375,0.778802,52.15915298461914,-35.189544677734375,263.89947509765625,0.820896
73.08417510986328,-66.36105346679688,196.19210815429688,0.87358755,57.120704650878906,-47.811920166015625,209.92628479003906,0.8919611,68.6784439086914,-37.548622131347656,200.61155700683594,0.8168951,51.953453063964844,-34.83734130859375,264.4005126953125,0.7981118
72.61039733886719,-66.71519470214844,197.3881072998047,0.8690454,56.680076599121094,-48.2423095703125,210.77609252929688,0.88153726,68.06713104248047,-37.69892120361328,201.62818908691406,0.8144264,51.6157112121582,-34.82512664794922,265.49212646484375,0.79807305
71.76771545410156,-67.17427062988281,198.2666015625,0.8480601,56.27854919433594,-48.60102081298828,211.72174072265625,0.8791187,67.66905975341797,-38.072242736816406,202.44091796875,0.80347425,51.06143569946289,-34.764678955078125,266.4748229980469,0.80010056
71.31005859375,-67.72216796875,199.07766723632812,0.83826137,55.88819122314453,-48.947235107421875,212.8336181640625,0.864172,67.58717346191406,-38.346656799316406,202.88973999023438,0.84153986,50.91848373413086,-34.468101501464844,267.04376220703125,0.8028919
70.252197265625,-68.50213623046875,200.0754852294922,0.82893693,55.67640686035156,-49.441192626953125,213.7599639892578,0.8388133,67.03697204589844,-39.00623321533203,203.5706329345703,0.850725,50.72826385498047,-34.532440185546875,267.50128173828125,0.8008859
69.54396057128906,-69.3455810546875,200.96258544921875,0.8288193,55.520408630371094,-50.034934997558594,214.77154541015625,0.84884226,66.8647232055664,-39.64129638671875,204.04493713378906,0.8246369,50.70998764038086,-34.3770751953125,268.09625244140625,0.7985841
68.54846954345703,-70.29203796386719,202.1876983642578,0.8037983,55.07380676269531,-50.71734619140625,215.60751342773438,0.81783754,66.9899673461914,-40.74174499511719,204.47915649414062,0.8343269,50.37912368774414,-34.34351348876953,268.357666015625,0.8087502
